,temp_c,condition,wind_kph,pressure_mb,precip_mm,humidity,cloud,feelslike_c,vis_km,state
0,23.2,0,6.8,1006.0,0.0,67,5,25.1,10.0,0
1,23.0,0,6.6,1005.0,0.0,67,6,25.0,10.0,0
2,22.7,0,6.4,1005.0,0.0,67,8,24.9,10.0,0
3,22.5,0,6.1,1005.0,0.0,67,10,24.8,10.0,0
4,22.3,0,6.0,1005.0,0.0,68,10,24.7,10.0,0
5,22.0,0,5.9,1006.0,0.0,68,10,24.6,10.0,0
6,21.8,0,5.8,1006.0,0.0,69,10,21.8,10.0,0
7,23.7,20,6.4,1006.0,0.0,65,10,25.8,10.0,0
8,25.5,20,7.0,1007.0,0.0,60,10,27.2,10.0,0
9,27.4,20,7.6,1007.0,0.0,56,11,28.5,10.0,0
10,29.5,20,8.2,1006.0,0.0,52,11,31.1,10.0,0
11,31.5,20,8.8,1005.0,0.0,48,11,33.7,10.0,0
12,33.6,20,9.4,1004.0,0.0,44,11,36.3,10.0,0
13,33.7,20,9.2,1004.0,0.0,43,10,36.4,10.0,0
14,33.8,20,9.1,1003.0,0.0,43,9,36.5,10.0,0
15,33.9,20,9.0,1002.0,0.0,42,9,36.6,10.0,0
16,31.8,20,7.4,1003.0,0.0,47,8,33.9,10.0,0
17,29.6,20,5.9,1003.0,0.0,51,8,31.3,10.0,0
18,27.5,0,4.3,1004.0,0.0,55,8,28.6,10.0,0
19,26.6,0,5.0,1004.0,0.0,57,12,27.7,10.0,0
20,25.6,0,5.8,1005.0,0.0,59,16,26.9,10.0,0
21,24.7,0,6.5,1005.0,0.0,61,20,26.0,10.0,0
22,23.9,0,6.5,1005.0,0.0,62,14,25.6,10.0,0
23,23.1,0,6.5,1005.0,0.0,63,8,25.1,10.0,0
24,27.7,19,6.1,1003.0,0.04,82,71,32.0,10.0,0
25,27.5,19,6.2,1002.0,0.02,83,76,31.6,10.0,0
26,27.3,19,6.4,1002.0,0.03,83,81,31.3,10.0,0
27,27.1,19,6.5,1001.0,0.04,83,86,30.9,10.0,0
28,27.2,19,6.4,1002.0,0.02,81,85,30.9,10.0,0
29,27.4,19,6.2,1003.0,0.03,80,85,31.0,10.0,0
30,27.5,19,6.1,1004.0,0.04,78,84,31.0,10.0,0
31,28.0,19,5.3,1004.0,0.02,75,86,31.5,10.0,0
32,28.5,19,4.4,1004.0,0.03,72,87,32.1,10.0,0
33,29.0,19,3.6,1005.0,0.04,69,89,32.6,10.0,0
34,29.8,19,4.3,1004.0,0.02,67,87,33.8,9.7,0
35,30.5,19,5.0,1003.0,0.23,65,85,35.1,9.3,0
36,31.3,19,5.8,1002.0,0.31,63,83,36.3,9.0,0
37,30.9,19,6.1,1002.0,0.16,65,84,35.9,9.3,0
38,30.5,6,6.5,1001.0,0.27,67,84,35.5,9.7,0
39,30.1,6,6.8,1001.0,0.36,70,85,35.1,10.0,0
40,29.7,6,7.2,1001.0,0.18,72,86,34.6,10.0,0
41,29.3,19,7.6,1002.0,0.03,74,88,34.1,10.0,0
42,28.9,19,7.9,1002.0,0.04,76,89,33.6,10.0,0
43,28.8,19,7.8,1003.0,0.02,76,87,33.4,10.0,0
44,28.6,19,7.7,1003.0,0.03,77,84,33.2,10.0,0
45,28.5,19,7.6,1004.0,0.04,77,82,33.0,10.0,0
46,28.1,19,7.3,1003.0,0.02,79,65,32.3,10.0,0
47,27.6,14,7.1,1002.0,0.0,81,48,31.7,10.0,0
48,25.6,0,5.4,1003.0,0.0,79,18,27.8,10.0,0
49,25.3,0,5.6,1003.0,0.0,79,19,27.4,10.0,0
50,25.0,0,5.9,1003.0,0.0,80,21,27.1,10.0,0
51,24.7,0,6.1,1002.0,0.0,80,23,26.7,10.0,0
52,24.5,0,6.6,1003.0,0.0,81,19,26.5,10.0,0
53,24.4,0,7.1,1003.0,0.0,82,16,26.4,10.0,0
54,24.2,0,7.6,1004.0,0.0,83,12,26.2,10.0,0
55,25.9,20,7.2,1004.0,0.0,78,12,28.5,10.0,0
56,27.6,20,6.8,1005.0,0.0,73,13,30.9,10.0,0
57,29.3,20,6.5,1005.0,0.0,69,13,33.2,10.0,0
58,30.7,20,6.5,1004.0,0.0,65,15,35.6,10.0,0
59,32.0,20,6.5,1003.0,0.0,62,17,38.0,10.0,0
60,33.4,20,6.5,1002.0,0.0,59,20,40.4,10.0,0
61,33.2,20,5.6,1001.0,0.0,59,30,40.0,10.0,0
62,33.0,14,4.8,1001.0,0.0,60,41,39.6,10.0,0
63,32.8,14,4.0,1000.0,0.0,60,52,39.2,10.0,0
64,31.4,14,3.6,1001.0,0.0,64,44,37.0,10.0,0
65,30.1,14,3.2,1001.0,0.0,68,37,34.7,10.0,0
66,28.7,14,2.9,1002.0,0.0,72,30,32.5,10.0,0
67,28.2,14,3.1,1002.0,0.0,74,28,31.8,10.0,0
68,27.8,14,3.4,1003.0,0.0,75,27,31.2,10.0,0
69,27.3,14,3.6,1004.0,0.0,77,26,30.5,10.0,0
70,26.5,14,4.8,1003.0,0.0,82,39,29.6,10.0,0
71,25.7,6,6.0,1003.0,0.17,87,53,28.7,10.0,0
72,25.6,0,6.1,1003.0,0.0,76,15,27.6,10.0,0
73,25.3,0,6.6,1003.0,0.0,76,16,27.3,10.0,0
74,25.0,0,7.1,1003.0,0.0,77,17,26.9,10.0,0
75,24.7,0,7.6,1002.0,0.0,77,18,26.6,10.0,0
76,24.5,0,7.9,1003.0,0.0,79,15,26.4,10.0,0
77,24.3,0,8.3,1003.0,0.0,80,13,26.3,10.0,0
78,24.1,0,8.6,1004.0,0.0,82,10,26.1,10.0,0
79,25.8,20,8.6,1004.0,0.0,77,11,28.4,10.0,0
80,27.6,20,8.6,1005.0,0.0,72,12,30.8,10.0,0
81,29.3,20,8.6,1005.0,0.0,68,12,33.1,10.0,0
82,30.6,20,8.3,1004.0,0.0,65,14,35.4,10.0,0
83,31.9,20,7.9,1003.0,0.0,63,16,37.8,10.0,0
84,33.2,20,7.6,1002.0,0.0,60,18,40.1,10.0,0
85,33.1,20,7.0,1001.0,0.0,60,22,39.8,10.0,0
86,33.0,14,6.4,1001.0,0.0,60,27,39.5,10.0,0
87,32.9,14,5.8,1000.0,0.0,59,32,39.2,10.0,0
88,31.5,14,4.9,1001.0,0.0,63,29,37.0,10.0,0
89,30.2,20,4.1,1001.0,0.0,67,26,34.8,10.0,0
90,28.8,0,3.2,1002.0,0.0,71,23,32.6,10.0,0
91,28.4,0,3.5,1002.0,0.0,72,23,31.9,10.0,0
92,27.9,0,3.7,1003.0,0.0,74,22,31.3,10.0,0
93,27.5,0,4.0,1004.0,0.0,75,22,30.6,10.0,0
94,26.6,0,5.3,1003.0,0.0,81,34,29.6,10.0,0
95,25.7,6,6.6,1003.0,0.3,87,46,28.7,10.0,0
96,28.4,0,6.8,1003.0,0.0,73,16,32.0,10.0,0
97,28.2,0,6.5,1003.0,0.0,73,18,31.7,10.0,0
98,28.1,0,6.1,1003.0,0.0,73,20,31.4,10.0,0
99,27.9,0,5.8,1002.0,0.0,73,22,31.1,10.0,0
100,28.0,0,6.0,1003.0,0.0,73,21,31.2,10.0,0
101,28.0,0,6.2,1003.0,0.0,73,19,31.4,10.0,0
102,28.1,0,6.5,1004.0,0.0,73,17,31.5,10.0,0
103,29.4,20,6.6,1004.0,0.0,66,21,33.0,10.0,0
104,30.8,14,6.7,1004.0,0.0,60,25,34.5,10.0,0
105,32.1,14,6.8,1005.0,0.0,54,29,36.0,10.0,0
106,33.1,14,10.2,1004.0,0.0,51,46,37.4,10.0,0
107,34.1,1,13.6,1003.0,0.0,49,64,38.9,10.0,0
108,35.1,1,16.9,1001.0,0.0,47,81,40.3,10.0,0
109,34.5,1,17.5,1001.0,0.0,49,63,39.7,10.0,0
110,34.0,14,18.1,1000.0,0.0,51,44,39.2,10.0,0
111,33.4,14,18.7,1000.0,0.0,53,26,38.6,10.0,0
112,32.3,14,16.4,1000.0,0.0,58,46,37.2,10.0,0
113,31.1,19,14.2,1001.0,0.03,62,67,35.8,10.0,0
114,30.0,19,11.9,1002.0,0.04,67,87,34.4,10.0,0
115,29.8,19,10.9,1002.0,0.02,68,72,34.2,10.0,0
116,29.7,14,10.0,1003.0,0.0,69,58,34.1,10.0,0
117,29.5,14,9.0,1004.0,0.0,70,43,33.9,10.0,0
118,28.9,14,6.7,1003.0,0.0,72,35,33.1,10.0,0
119,28.4,0,4.4,1003.0,0.0,74,28,32.2,10.0,0
120,28.4,0,6.8,1003.0,0.0,73,16,32.0,10.0,0
121,28.2,0,6.5,1003.0,0.0,73,18,31.7,10.0,0
122,28.1,0,6.1,1003.0,0.0,73,20,31.4,10.0,0
123,27.9,0,5.8,1002.0,0.0,73,22,31.1,10.0,0
124,28.0,0,6.0,1003.0,0.0,73,21,31.2,10.0,0
125,28.0,0,6.2,1003.0,0.0,73,19,31.4,10.0,0
126,28.1,0,6.5,1004.0,0.0,73,17,31.5,10.0,0
127,29.4,20,6.6,1004.0,0.0,66,21,33.0,10.0,0
128,30.8,14,6.7,1004.0,0.0,60,25,34.5,10.0,0
129,32.1,14,6.8,1005.0,0.0,54,29,36.0,10.0,0
130,33.1,14,10.2,1004.0,0.0,51,46,37.4,10.0,0
131,34.1,1,13.6,1003.0,0.0,49,64,38.9,10.0,0
132,35.1,1,16.9,1001.0,0.0,47,81,40.3,10.0,0
133,34.5,1,17.5,1001.0,0.0,49,63,39.7,10.0,0
134,34.0,14,18.1,1000.0,0.0,51,44,39.2,10.0,0
135,33.4,14,18.7,1000.0,0.0,53,26,38.6,10.0,0
136,32.3,14,16.4,1000.0,0.0,58,46,37.2,10.0,0
137,31.1,19,14.2,1001.0,0.03,62,67,35.8,10.0,0
138,30.0,19,11.9,1002.0,0.04,67,87,34.4,10.0,0
139,29.8,19,10.9,1002.0,0.02,68,72,34.2,10.0,0
140,29.7,14,10.0,1003.0,0.0,69,58,34.1,10.0,0
141,29.5,14,9.0,1004.0,0.0,70,43,33.9,10.0,0
142,28.9,14,6.7,1003.0,0.0,72,35,33.1,10.0,0
143,28.4,0,4.4,1003.0,0.0,74,28,32.2,10.0,0
144,22.3,0,6.5,1005.0,0.0,65,3,24.7,10.0,0
145,22.0,0,6.8,1004.0,0.0,64,6,24.6,10.0,0
146,21.8,0,7.2,1004.0,0.0,64,9,21.8,10.0,0
147,21.5,0,7.6,1004.0,0.0,64,12,21.5,10.0,0
148,21.5,0,6.6,1004.0,0.0,63,24,21.5,10.0,0
149,21.4,14,5.6,1005.0,0.0,63,35,21.4,10.0,0
150,21.4,14,4.7,1005.0,0.0,62,46,21.4,10.0,0
151,22.7,14,6.1,1006.0,0.0,60,45,25.1,10.0,0
152,24.1,14,7.6,1006.0,0.0,58,44,25.8,10.0,0
153,25.4,14,9.0,1007.0,0.0,56,43,26.4,10.0,0
154,27.2,14,9.2,1006.0,0.0,51,44,28.0,10.0,0
155,29.0,14,9.5,1005.0,0.0,46,45,29.7,10.0,0
156,30.8,14,9.7,1004.0,0.0,41,46,31.3,10.0,0
157,30.9,14,9.2,1004.0,0.0,42,46,31.6,10.0,0
158,31.0,14,8.8,1003.0,0.0,43,46,31.9,10.0,0
159,31.1,14,8.3,1002.0,0.0,44,47,32.2,10.0,0
160,29.6,14,7.2,1003.0,0.0,49,46,30.7,10.0,0
161,28.1,14,6.1,1003.0,0.0,54,45,29.3,10.0,0
162,26.6,14,5.0,1003.0,0.0,59,44,27.8,10.0,0
163,26.3,14,4.4,1004.0,0.0,61,46,27.5,10.0,0
164,25.9,14,3.8,1005.0,0.0,63,48,27.3,10.0,0
165,25.6,14,3.2,1005.0,0.0,65,49,27.0,10.0,0
166,24.5,14,3.7,1005.0,0.0,76,66,26.3,9.0,0
167,23.4,11,4.2,1005.0,1.9,87,83,25.6,8.0,0
168,27.2,14,6.8,1002.0,0.0,82,31,31.0,10.0,0
169,27.1,14,7.2,1001.0,0.0,83,29,30.9,10.0,0
170,27.1,14,7.6,1001.0,0.0,83,28,30.9,10.0,0
171,27.0,14,7.9,1001.0,0.0,84,26,30.8,10.0,0
172,27.0,14,8.4,1001.0,0.0,84,25,30.7,10.0,0
173,26.9,0,8.9,1002.0,0.0,84,24,30.7,10.0,0
174,26.9,20,9.4,1003.0,0.0,84,24,30.6,10.0,0
175,27.8,20,10.2,1003.0,0.0,79,45,31.7,10.0,0
176,28.6,19,11.0,1004.0,0.03,75,66,32.9,10.0,0
177,29.5,19,11.9,1005.0,0.04,71,87,34.0,10.0,0
178,29.3,19,14.0,1004.0,0.02,74,77,34.3,10.0,0
179,29.2,6,16.2,1003.0,0.57,77,67,34.5,10.0,0
180,29.0,6,18.4,1002.0,0.76,81,58,34.8,10.0,0
181,28.6,6,18.4,1002.0,0.38,82,71,34.2,10.0,0
182,28.3,6,18.4,1001.0,0.5,84,85,33.6,10.0,0
183,27.9,6,18.4,1001.0,0.67,85,99,33.0,10.0,0
184,27.9,6,17.5,1002.0,0.33,85,99,33.0,9.0,0
185,27.9,9,16.7,1002.0,0.97,85,100,33.0,8.0,0
186,27.9,9,15.8,1003.0,1.29,85,100,33.0,7.0,0
187,27.9,9,14.3,1003.0,0.64,86,94,32.9,8.0,0
188,27.8,6,12.7,1004.0,0.53,86,89,32.9,9.0,0
189,27.8,6,11.2,1004.0,0.71,86,83,32.8,10.0,0
190,27.3,6,9.7,1004.0,0.36,87,86,31.8,10.0,0
191,26.7,6,8.3,1004.0,0.23,87,89,30.7,10.0,0
192,24.9,6,7.2,1002.0,0.22,92,66,27.8,10.0,0
193,24.8,6,6.1,1002.0,0.11,92,64,27.7,10.0,0
194,24.8,6,5.0,1002.0,0.07,92,61,27.5,10.0,0
195,24.7,6,4.0,1001.0,0.09,92,59,27.4,10.0,0
196,24.8,6,4.1,1002.0,0.04,92,60,27.6,10.0,0
197,24.9,1,4.2,1002.0,0.0,92,62,27.7,10.0,0
198,25.0,1,4.3,1003.0,0.0,92,63,27.9,10.0,0
199,25.9,1,3.6,1004.0,0.0,88,71,29.3,10.0,0
200,26.9,6,2.9,1004.0,0.2,85,79,30.7,10.0,0
201,27.8,6,2.2,1005.0,0.27,82,87,32.1,10.0,0
202,28.5,6,2.5,1004.0,0.13,79,86,33.4,10.0,0
203,29.3,6,2.9,1003.0,0.47,77,86,34.7,10.0,0
204,30.0,6,3.2,1002.0,0.62,75,85,36.0,10.0,0
205,30.0,6,3.4,1001.0,0.31,74,81,36.0,10.0,0
206,30.1,1,3.5,1001.0,0.0,74,77,36.0,10.0,0
207,30.1,1,3.6,1000.0,0.0,74,73,36.0,10.0,0
208,29.1,1,3.0,1001.0,0.0,77,74,34.3,9.7,0
209,28.0,19,2.4,1002.0,0.1,80,76,32.5,9.3,0
210,27.0,19,1.8,1002.0,0.13,84,77,30.8,9.0,0
211,26.3,19,2.9,1003.0,0.07,87,73,29.8,9.3,0
212,25.6,6,4.0,1004.0,0.23,90,69,28.9,9.7,0
213,24.9,6,5.0,1005.0,0.31,94,66,27.9,10.0,0
214,24.8,6,4.9,1004.0,0.16,94,48,27.7,10.0,0
215,24.7,0,4.8,1004.0,0.0,93,30,27.6,10.0,0
216,24.8,6,7.9,1002.0,0.4,93,59,27.7,10.0,0
217,24.8,6,6.7,1002.0,0.2,93,60,27.7,10.0,0
218,24.8,6,5.5,1002.0,0.17,93,62,27.6,10.0,0
219,24.8,6,4.3,1001.0,0.22,92,63,27.6,10.0,0
220,24.8,6,4.6,1002.0,0.11,92,66,27.6,10.0,0
221,24.8,1,4.8,1003.0,0.0,92,69,27.6,10.0,0
222,24.8,1,5.0,1003.0,0.0,93,72,27.6,10.0,0
223,25.6,1,4.4,1004.0,0.0,90,72,28.8,10.0,0
224,26.4,6,3.8,1004.0,0.13,87,72,30.0,10.0,0
225,27.2,6,3.2,1005.0,0.18,84,72,31.2,10.0,0
226,28.0,6,3.8,1004.0,0.09,81,75,32.6,10.0,0
227,28.9,6,4.4,1003.0,0.23,78,77,34.0,10.0,0
228,29.7,6,5.0,1002.0,0.31,75,80,35.4,10.0,0
229,29.9,6,4.3,1002.0,0.16,74,78,35.6,9.7,0
230,30.1,19,3.6,1001.0,0.1,72,76,35.7,9.3,0
231,30.3,19,2.9,1000.0,0.13,71,74,35.9,9.0,0
232,29.3,19,2.9,1001.0,0.07,74,73,34.2,9.3,0
233,28.2,19,2.9,1002.0,0.03,78,71,32.5,9.7,0
234,27.2,19,2.9,1002.0,0.04,81,70,30.8,10.0,0
235,26.4,19,3.5,1003.0,0.02,85,66,29.8,10.0,0
236,25.6,6,4.1,1004.0,0.4,90,62,28.8,10.0,0
237,24.8,6,4.7,1005.0,0.53,94,59,27.8,10.0,0
238,24.7,6,4.6,1004.0,0.27,94,67,27.6,9.7,0
239,24.6,19,4.4,1004.0,0.1,94,76,27.4,9.3,0
240,27.8,0,2.2,1002.0,0.0,77,20,31.4,10.0,0
241,27.6,0,1.9,1002.0,0.0,77,37,31.1,9.7,0
242,27.5,19,1.7,1001.0,0.07,77,55,30.9,9.3,0
243,27.3,19,1.4,1001.0,0.09,78,72,30.6,9.0,0
244,27.4,19,1.9,1002.0,0.04,77,56,30.7,9.3,0
245,27.5,0,2.4,1002.0,0.0,77,40,30.8,9.7,0
246,27.6,0,2.9,1003.0,0.0,76,23,30.9,10.0,0
247,28.8,20,4.1,1003.0,0.0,69,28,32.2,10.0,0
248,30.1,14,5.3,1004.0,0.0,63,33,33.6,10.0,0
249,31.3,14,6.5,1004.0,0.0,56,37,34.9,10.0,0
250,31.7,14,10.6,1003.0,0.0,56,42,35.8,10.0,0
251,32.2,14,14.6,1002.0,0.0,56,47,36.8,10.0,0
252,32.6,14,18.7,1002.0,0.0,56,52,37.7,10.0,0
253,32.5,14,17.9,1001.0,0.0,57,45,37.5,10.0,0
254,32.3,14,17.0,1001.0,0.0,57,38,37.2,10.0,0
255,32.2,14,16.2,1000.0,0.0,57,32,37.0,10.0,0
256,31.1,14,14.5,1001.0,0.0,62,34,35.6,10.0,0
257,29.9,14,12.8,1001.0,0.0,67,36,34.1,10.0,0
258,28.8,14,11.2,1002.0,0.0,72,38,32.7,10.0,0
259,28.6,14,10.1,1003.0,0.0,73,46,32.5,10.0,0
260,28.5,1,9.0,1003.0,0.0,74,55,32.3,10.0,0
261,28.3,1,7.9,1004.0,0.0,75,63,32.1,10.0,0
262,28.0,1,8.5,1004.0,0.0,76,59,31.8,10.0,0
263,27.8,14,9.1,1003.0,0.0,78,55,31.4,10.0,0
264,23.3,14,2.9,1003.0,0.0,82,33,25.3,10.0,0
265,23.2,14,2.5,1003.0,0.0,83,52,25.2,10.0,0
266,23.0,19,2.2,1002.0,0.03,83,70,25.1,10.0,0
267,22.9,19,1.8,1002.0,0.04,83,89,25.0,10.0,0
268,23.1,19,1.6,1003.0,0.02,83,75,25.1,10.0,0
269,23.2,14,1.3,1003.0,0.0,83,60,25.3,10.0,0
270,23.4,14,1.1,1004.0,0.0,83,46,25.4,10.0,0
271,25.2,14,1.9,1004.0,0.0,78,41,27.6,10.0,0
272,26.9,14,2.8,1005.0,0.0,73,35,29.8,10.0,0
273,28.7,14,3.6,1005.0,0.0,69,30,32.0,10.0,0
274,29.4,14,4.7,1004.0,0.0,67,37,33.2,10.0,0
275,30.1,6,5.8,1003.0,0.07,66,44,34.3,10.0,0
276,30.8,6,6.8,1003.0,0.09,64,51,35.5,10.0,0
277,30.6,6,5.8,1002.0,0.04,65,62,35.2,10.0,0
278,30.4,19,4.7,1001.0,0.03,65,74,35.0,10.0,0
279,30.2,19,3.6,1001.0,0.04,66,86,34.7,10.0,0
280,28.9,19,3.8,1001.0,0.02,70,82,32.7,10.0,0
281,27.5,19,4.1,1002.0,0.03,74,79,30.6,10.0,0
282,26.2,19,4.3,1003.0,0.04,78,75,28.6,10.0,0
283,25.5,19,3.5,1004.0,0.02,81,79,27.8,9.7,0
284,24.7,19,2.6,1004.0,0.17,84,84,27.0,9.3,0
285,24.0,19,1.8,1005.0,0.22,87,88,26.2,9.0,0
286,23.8,19,2.3,1005.0,0.11,90,86,26.1,8.3,0
287,23.6,11,2.8,1004.0,1.1,93,83,26.0,7.7,0
288,22.3,11,4.7,1005.0,2.53,99,100,24.9,7.0,0
289,22.4,11,8.4,1005.0,1.27,98,100,25.0,7.0,0
290,22.6,11,12.1,1004.0,1.87,97,100,25.0,7.0,0
291,22.7,11,15.8,1004.0,2.49,96,100,25.1,7.0,0
292,22.7,11,13.6,1004.0,1.24,96,84,25.1,8.0,0
293,22.8,6,11.3,1004.0,0.1,96,69,25.2,9.0,0
294,22.8,6,9.0,1005.0,0.13,95,53,25.2,10.0,0
295,23.7,6,9.0,1006.0,0.07,92,60,26.2,10.0,0
296,24.6,6,9.0,1006.0,0.1,88,67,27.2,10.0,0
297,25.5,6,9.0,1007.0,0.13,85,74,28.2,10.0,0
298,26.4,6,10.0,1006.0,0.07,82,76,29.6,10.0,0
299,27.4,6,10.9,1005.0,0.33,80,78,31.1,10.0,0
300,28.3,6,11.9,1004.0,0.44,77,79,32.5,10.0,0
301,28.2,6,10.9,1003.0,0.22,77,75,32.3,10.0,0
302,28.1,6,10.0,1003.0,0.5,77,70,32.1,10.0,0
303,28.0,6,9.0,1002.0,0.67,77,65,31.9,10.0,0
304,27.0,6,6.5,1003.0,0.33,82,67,30.5,9.0,0
305,25.9,9,4.0,1003.0,0.97,86,68,29.0,8.0,0
306,24.9,9,1.4,1003.0,1.29,90,70,27.6,7.0,0
307,24.6,9,3.7,1004.0,0.64,91,73,27.2,7.7,0
308,24.2,19,6.0,1005.0,0.43,92,75,26.7,8.3,0
309,23.9,19,8.3,1005.0,0.58,93,78,26.3,9.0,0
310,23.8,19,6.2,1005.0,0.29,93,75,26.2,9.3,0
311,23.8,6,4.2,1004.0,0.1,93,72,26.2,9.7,0
312,26.2,6,6.8,1003.0,0.31,88,91,29.7,10.0,0
313,26.1,6,6.2,1003.0,0.16,88,80,29.6,10.0,0
314,26.1,14,5.6,1003.0,0.0,88,70,29.4,10.0,0
315,26.0,14,5.0,1003.0,0.0,88,59,29.3,10.0,0
316,26.1,14,4.4,1003.0,0.0,88,61,29.5,10.0,0
317,26.2,1,3.8,1004.0,0.0,88,64,29.6,10.0,0
318,26.3,1,3.2,1004.0,0.0,88,66,29.8,10.0,0
319,26.9,1,3.0,1005.0,0.0,85,52,30.7,10.0,0
320,27.6,20,2.8,1005.0,0.0,82,38,31.7,10.0,0
321,28.2,20,2.5,1006.0,0.0,79,23,32.6,10.0,0
322,29.8,20,5.2,1005.0,0.0,76,20,35.9,10.0,0
323,31.3,20,7.8,1004.0,0.0,73,17,39.3,10.0,0
324,32.9,20,10.4,1003.0,0.0,70,14,42.6,10.0,0
325,32.8,20,11.4,1003.0,0.0,70,12,42.6,10.0,0
326,32.8,20,12.4,1002.0,0.0,71,11,42.5,10.0,0
327,32.7,20,13.3,1002.0,0.0,71,9,42.5,10.0,0
328,31.3,20,12.1,1002.0,0.0,73,12,39.4,10.0,0
329,30.0,20,10.9,1003.0,0.0,76,15,36.4,10.0,0
330,28.6,0,9.7,1003.0,0.0,78,17,33.3,10.0,0
331,28.5,0,9.1,1004.0,0.0,77,21,33.0,10.0,0
332,28.4,14,8.5,1005.0,0.0,76,25,32.6,10.0,0
333,28.3,14,7.9,1005.0,0.0,76,29,32.3,10.0,0
334,27.7,14,8.6,1005.0,0.0,79,36,31.5,10.0,0
335,27.0,14,9.4,1004.0,0.0,83,43,30.7,10.0,0
336,24.6,0,4.7,1003.0,0.0,93,13,27.4,10.0,0
337,24.5,0,4.3,1003.0,0.0,93,15,27.2,10.0,0
338,24.4,0,4.0,1003.0,0.0,93,18,27.1,10.0,0
339,24.3,0,3.6,1002.0,0.0,94,21,26.9,10.0,0
340,24.4,0,3.5,1003.0,0.0,94,41,27.0,9.7,0
341,24.4,19,3.4,1003.0,0.2,94,62,27.2,9.3,0
342,24.5,19,3.2,1004.0,0.27,94,83,27.3,9.0,0
343,26.1,19,4.3,1005.0,0.13,88,63,29.7,9.3,0
344,27.6,20,5.4,1005.0,0.0,82,43,32.1,9.7,0
345,29.2,20,6.5,1006.0,0.0,77,23,34.5,10.0,0
346,30.4,20,6.2,1005.0,0.0,72,39,36.5,10.0,0
347,31.7,19,6.0,1004.0,0.03,68,56,38.5,10.0,0
348,32.9,19,5.8,1003.0,0.04,64,73,40.5,10.0,0
349,32.4,19,6.1,1002.0,0.02,66,71,39.8,10.0,0
350,31.8,1,6.5,1002.0,0.0,68,69,39.0,10.0,0
351,31.3,1,6.8,1001.0,0.0,71,67,38.3,10.0,0
352,29.7,1,7.0,1002.0,0.0,76,74,35.7,9.0,0
353,28.2,9,7.1,1002.0,0.83,82,82,33.1,8.0,0
354,26.6,9,7.2,1003.0,1.11,88,89,30.5,7.0,0
355,26.1,9,7.3,1003.0,0.56,90,87,29.7,7.7,0
356,25.6,19,7.4,1004.0,0.23,91,85,29.0,8.3,0
357,25.1,19,7.6,1005.0,0.31,93,83,28.2,9.0,0
358,24.9,19,5.8,1005.0,0.16,93,83,27.8,9.3,0
359,24.6,19,4.0,1004.0,0.03,93,82,27.5,9.7,0
360,24.5,19,4.3,1003.0,0.13,93,85,27.2,9.0,0
361,24.4,19,4.1,1003.0,0.07,94,85,27.0,9.0,0
362,24.2,19,3.8,1003.0,0.1,94,84,26.9,9.0,0
363,24.1,19,3.6,1002.0,0.13,95,84,26.7,9.0,0
364,24.2,19,3.2,1003.0,0.07,95,85,26.8,9.0,0
365,24.2,19,2.9,1003.0,0.33,95,85,26.9,9.0,0
366,24.3,19,2.5,1004.0,0.44,95,86,27.0,9.0,0
367,25.9,19,3.8,1005.0,0.22,89,82,29.4,9.0,0
368,27.5,19,5.2,1005.0,0.13,83,79,31.9,9.0,0
369,29.1,19,6.5,1006.0,0.18,77,75,34.3,9.0,0
370,30.3,19,5.9,1005.0,0.09,73,78,36.4,9.3,0
371,31.6,19,5.3,1004.0,0.03,69,80,38.4,9.7,0
372,32.8,19,4.7,1003.0,0.04,65,83,40.5,10.0,0
373,32.4,19,5.2,1002.0,0.02,66,77,39.9,10.0,0
374,31.9,6,5.6,1002.0,0.2,68,71,39.2,10.0,0
375,31.5,6,6.1,1001.0,0.27,70,64,38.6,10.0,0
376,29.8,6,6.8,1002.0,0.13,75,71,35.8,10.0,0
377,28.2,6,7.6,1002.0,0.77,81,77,33.0,10.0,0
378,26.5,6,8.3,1003.0,1.02,87,83,30.2,10.0,0
379,26.0,6,7.9,1003.0,0.51,89,83,29.4,9.7,0
380,25.5,19,7.6,1004.0,0.37,90,84,28.6,9.3,0
381,25.0,19,7.2,1005.0,0.49,91,84,27.8,9.0,0
382,24.8,19,5.4,1005.0,0.24,91,73,27.5,9.3,0
383,24.6,14,3.6,1004.0,0.0,92,61,27.3,9.7,0
384,27.5,14,9.7,1003.0,0.0,79,52,31.1,10.0,0
385,27.2,14,10.2,1003.0,0.0,80,51,30.7,10.0,0
386,27.0,19,10.7,1002.0,0.03,81,51,30.3,10.0,0
387,26.7,19,11.2,1002.0,0.04,82,50,29.9,10.0,0
388,26.6,19,9.8,1003.0,0.02,82,44,29.7,10.0,0
389,26.6,14,8.5,1003.0,0.0,81,38,29.6,10.0,0
390,26.5,14,7.2,1004.0,0.0,81,33,29.4,10.0,0
391,27.4,14,7.9,1004.0,0.0,75,31,30.5,10.0,0
392,28.4,14,8.6,1005.0,0.0,70,30,31.5,10.0,0
393,29.3,14,9.4,1005.0,0.0,65,29,32.6,10.0,0
394,30.8,14,9.4,1004.0,0.0,60,33,34.5,10.0,0
395,32.4,14,9.4,1004.0,0.0,54,37,36.4,10.0,0
396,33.9,14,9.4,1003.0,0.0,49,42,38.3,10.0,0
397,33.6,14,9.2,1002.0,0.0,50,36,38.1,10.0,0
